Business_Name,Category,Contact_Person,Phone,Website,Rating,Price_Point,Top_Pain_Point,Top_Delight,Key_Opportunity_1,Key_Opportunity_2,Red_Flag,Data_Quality,Key_Insight
Bulla Gastrobar,Restaurant,Alis Mosquera,786-810-6215,bullagastrobar.com,4.5,$$,Inventory gaps + noise issues,"Ernesto effect, personalized service",Staff recognition AI,Predictive inventory,None,High,"Individual staff = massive brand value"
Seasons 52,Restaurant,Fernando Orms,305-442-8552,seasons52.com,4.8,$$,Temperature control (35% complaints),Fresh seasonal menu,Environmental monitoring system,Maintenance tracking,YES - Systemic issue,High,"Cold dining room killing experience"
CVI.CHE 105,Restaurant,Carla Ramon,786-527-3939,ceviche105.com,4.5,$$,Review manipulation + staff coercion,High-end ceviche preparation,"Review authenticity audit, staff training",Sentiment analysis,ðŸš¨ REVIEW MANIPULATION,Medium,"Fake reviews + forced feedback = trust killer"
JohnMartin's,Restaurant,Tony Guerra,305-209-0609,johnmartinsmiami.com,4.0,$$,Music/vibe mismatch post-renovation,Sports bar energy,Ambiance personalization by daypart,Staff vibe training,None,Medium,"What attracts vs. what repels = timing"
Books & Books Cafe,Restaurant/Retail,Mitchell Kaplan,305-442-4408,booksandbooks.com,4.3,$$,Slow service + staff coordination,Intellectual community feel,Service queue management,Staff scheduling AI,None,High,"Bookstore cafe = unique positioning"
BARAKAT + BOSSA,Law Firm,Brian Barakat,305-444-3114,b2b.legal,5.0,$$$$,None identified,Chambers-ranked + premium service,Portfolio showcase,Client testimonials,None,High,"Premium positioning = no price resistance"
EPGD Business Law,Law Firm,Eric GrosDubois,786-837-6787,epgdlaw.com,3.5,$$$$,Billing fraud allegations + ethics,"Some positive relationships",Billing transparency AI,Ethics compliance audit,ðŸš¨ BILLING FRAUD,Medium,"Professional thieves per reviews"
The Saade Law Firm,Law Firm,Gabriel Saade,786-633-1114,saadelaw.com,N/A,$$$$,No public data,No public data,Portfolio creation,Online presence,None,Low,"No digital footprint = missed opportunity"
ZOMMA Group,Accounting,Raymond Zomerfeld,305-444-8288,zommagroup.com,N/A,$$,Limited data,Community-focused + UM network,Case study creation,Social proof building,None,Medium,"Community credibility foundation"
Cherry Bekaert,Accounting,Arlene Labrador,786-693-6300,cbh.com,4.0,$$$$,Most toxic work environment documented,Professional expertise,Culture transformation consulting,Employee satisfaction tracking,âš ï¸ CULTURE CRISIS,High,"Workplace toxicity = talent drain"
Aloft Coral Gables,Hotel,Daniel Suarez,305-442-0372,aloftcoralgables.com,4.3,$$,Lost property service failures,Modern amenities + friendly staff,Guest property management system,Staff recognition (Stanley effect),None,High,"Standout individuals define brand"
Hyatt Regency Coral Gables,Hotel,Mario J. Terran,305-441-1234,coralgables.hyatt.com,4.1,$$$$,Dirty vents + horrendous mattresses,Excellent service + spacious rooms,ðŸš¨ CRITICAL cleanliness audit,Equipment maintenance tracking,ðŸš¨ CLEANLINESS CRISIS,High,"Operational excellence = guest delights"
Shops at Merrick Park,Retail/Shopping,Carlos Limontes,305-529-1215,shopsatmerrickpark.com,4.5,$$$,Parking fees + extreme heat,Mediterranean architecture + luxury,Dynamic pricing transparency,Event calendar automation,None,High,"Luxury outdoor = premium experience"
EQUINOX,Fitness,Matt Pinder,786-497-8200,equinox.com/clubs/florida/coral-gables,3.8,$$$$,Unethical PT sales + no pool,Eucalyptus smell + clean facility,ðŸš¨ Transparent sales process,Equipment utilization tracking,ðŸš¨ ETHICAL SALES,High,"Deceptive practices = brand risk"
Toska Spa & Facial Bar,Wellness,Charlotte Prescott,786-536-2998,toskaspa.com,4.7,$$$$,Premium pricing accessibility,Celebrity clientele + results,Brand differentiation campaign,Social proof amplification,None,Medium,"New location = growth opportunity"
Stretch Zone,Wellness,Stephen Montalto,786-636-1306,stretchzone.com,4.1,$$,ðŸš¨ Auto-renewal + bait-and-switch,Effective for committed users,Transparent pricing + no auto-enroll,Outcome tracking system,ðŸš¨ AGGRESSIVE TACTICS,Medium,"Trust = deal-breaker for SaaS"
Coral Gables Graphics,Retail,Martin Morcillo,305-351-3210,coralgablesgraphics.com,N/A,$$,Limited data,Chamber member,Portfolio showcase,Review generation campaign,None,Low,"No online presence = invisible"
Blackmore Consulting,Consulting,Yvethe Blackmore,786-417-9868,blackmoreconsulting.com,N/A,$$$$,$2M+ focus limits market,15+ years corporate experience,Case study documentation,LinkedIn thought leadership,None,Medium,"Solo consulting = scaling challenge"
OptFirst Inc.,Digital Marketing,John Kriney,305-401-4983,optfirst.com,4.6,$$,Limited recent reviews,Google certified + 24-year veteran,Case study library,Client results dashboard,None,High,"Proven track record = conversion asset"
Co Underscore,Consulting,Dietrich Zeledon,888-835-5507,counderscore.com,BBB Accredited,$$,Minimal online visibility,PKP methodology + Chamber active,This OSINT project as portfolio piece,PKP template marketplace,None,High,"Your unique advantage = proprietary framework"
Shop Origen,Retail/Boutique,Elisa Londono,305-934-1270,shop-origen.com,4.0,$$$$,Relocation transition period,Award-winning (Best Boutique 2024-25),Location communication strategy,Email marketing automation,None,Medium,"Award recognition = credibility asset"
Stellar Synergy,Consulting,Barbara Exposito-Fernandez,305-467-7552,stellar-synergy.com,Excellent testimonials,$$$$,Limited online reviews,Proven: $2.4Mâ†’$9M in 1 year,Case study documentation,Success dashboard,None,Medium,"Founder success story = powerful narrative"
My Xcell Network,Telecommunications,Luis Gonzalez Jr.,305-704-0521,myxcell.net,Mixed,$$,ðŸš¨ Name association with job scams,Bilingual support + 11-year history,Brand differentiation strategy,Trust rebuilding campaign,ðŸš¨ SCAM ASSOCIATION,Medium,"Reputation damage = critical issue"
The Win Woman,Consulting,Yanyn San Luis,305-697-6147,thewinwoman.com,N/A,Unknown,No website,Unknown,Digital presence creation,Content marketing,None,Low,"No online footprint = no visibility"
Nexus Consultancy,Consulting,Camilo Osuna,786-642-1803,No website,Unknown,Unknown,No online presence,Unknown,Website development,LinkedIn profile,None,Low,"No digital presence = dead business"
