business_id,business_name,contact_name,phone,website,address,neighborhood_area,category_primary,category_secondary,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,rating_secondary_value,rating_secondary_source,top_delights,top_pain_points,osint_confidence,validation_tier,validation_confidence,red_flag_present,red_flag_severity,red_flag_category,red_flag_notes,pkp_node_type,pkp_edges_summary,pkp_picks_shovels_summary,pkp_undercurrents_summary,pkp_key_signals,pkp_primary_risks,pkp_primary_actions,chamber_member,batch_id,last_reviewed_date,notes,source_file
vdt_law,Law Office of Vanessa D. Torres P.A.,Ms. Vanessa D. Torres Barcena,786-801-0271,vdtlaw.com,,Miami,professional_services,"law firm - aviation, business & family",$$$$,4.8,Google/Avvo style ratings (low-moderate volume),,,,"Boutique practice handling aviation, business and family matters; clients highlight responsiveness and clear explanations in available reviews",Very lean team; multiple practice areas for a single small firm can stretch bandwidth; limited independent review density,0.75,Moderate,0.8,N,none,Reputation,"OSINT suggests positive but low-volume sentiment, typical for a small niche practice",asset_node,"Edges into small businesses, families and aviation/crew clients",Litigation and transactional work in multiple areas,Economic cycles; client concentration; cross-practice complexity,review_trend; case_mix; referral_rate,Key-person risk and practice-area sprawl,Clarify target segments; systematize intake and matter management; build small-of-counsel network for overflow,Y,batch_attorneys_01,2026-01-13,"Single node reused for aviation, business and family listings for this firm.[web:296]",attorneys.csv
richards_legal_group,Richards Legal Group,"Mr. Richard L. Richards, Esq.",305-448-2228,richpa.net,,Coral Gables,professional_services,law firm - business & real estate,$$$$,4.6,Google/peer references (low volume),,,,Experienced business and real-estate firm; known in Gables civic and political circles,Sparse online consumer reviews; reputation carried more by relationships and referrals,0.7,Moderate,0.8,N,none,Reputation,"OSINT suggests longstanding, relationship-based practice with little digital footprint[web:296]",asset_node,"Edges into local businesses, developers and civic matters",Business/real-estate counseling and litigation,Real-estate cycles; political ties,deal_flow; litigation_docket; referral_sources,Succession and client-base aging,Lean into institutional and multigenerational clients; document and market key wins more clearly,Y,batch_attorneys_01,2026-01-13,Established but low-visibility business/real-estate boutique; trust is relationship-driven more than review-driven.[web:296],attorneys.csv
saade_law_firm,"The Saade Law Firm, P.A.",Mr. Gabriel Saade,786-633-1114,saadelaw.com,,Miami,professional_services,"law firm - business, commercial & personal injury",$$$$,4.8,Google/Avvo (low-moderate volume),,,,"Clients praise Gabriel Saade's responsiveness, empathy and strong results in business disputes and injury cases",Small firm juggling multiple practice areas; caseload and trial work may create capacity constraints,0.8,High,0.85,N,none,Reputation,OSINT indicates a well-regarded boutique with high client satisfaction,asset_node,"Edges into SMEs, injured plaintiffs and commercial counterparties",Litigation and counseling in business/PI matters,Case-intake quality; court backlogs,settlement_vs_trial_mix; review_trend; referral_share,Overextension across practice areas; reliance on principal,Clarify ideal case profile; build support team or co-counsel networks; keep pipelines curated,Y,batch_attorneys_01,2026-01-13,"Single node reused across business, patent/tm listing and PI references for this firm.[web:296]",attorneys.csv
brito_pllc,"Brito, PLLC",Mr. Alejandro Brito,305-614-4071,britopllc.com,,Coral Gables,professional_services,law firm - business litigation,$$$$,5.0,Avvo/Martindale style ratings (low-moderate volume),,,,Boutique commercial-litigation firm; peers describe Brito as highly skilled and ethical; clients note strong advocacy,Litigation-only focus makes revenue cyclical and outcome-sensitive; high hourly rates vs smaller clients,0.85,High,0.9,N,none,Reputation,Professional-sentiment OSINT is very strong; no notable negative reviews surfaced[web:296],asset_node,"Edges into mid-market companies, shareholders and partners in disputes","Commercial litigation, injunctions, appeals",Macro litigation demand; court delays,case_complexity_mix; trial_rate; peer_endorsements,Concentration in a small partner team; key-person risk,"Invest in associate bench and succession; keep selective intake of complex, high-value matters",Y,batch_attorneys_01,2026-01-13,Focused business-litigation boutique with strong peer reputation.[web:296],attorneys.csv
cueto_law_group,"Cueto Law Group, P.L.",Mr. Santiago Cueto,305-777-0377,cuetolawgroup.com,,Coral Gables,professional_services,"law firm - business, international & corporate",$$$$,4.9,"Own site/Google/Avvo testimonials (many), 3.2",Trustpilot (1 negative review),"Many clients and testimonials describe the firm as highly professional, responsive and effective in international business disputes, corporate work and deals; praised for clear communication and strategy","A Trustpilot review alleges paying a high consult fee and receiving poor answers from an associate, highlighting perceived inconsistency; heavy reliance on in-house testimonials vs neutral platforms",0.9,High,0.9,Y,warning,Reputation,"OSINT overall is very favorable, but at least one detailed negative review points to importance of quality control across all attorneys",[web:516][web:517][web:518][web:520][web:522][web:524],platform_node,"Edges into international entrepreneurs, mid-market companies and cross-border investors","Corporate, M&A, litigation, international arbitration",Global business cycles; FX; cross-border enforcement,client_testimonials_volume; external_rating_variance; cross_border_case_mix,Any perceived 'bait and switch' between lead partner and other lawyers could hurt brand,Keep intake/consults tightly supervised; maintain training/QC so all lawyers deliver at Cueto's brand level; encourage neutral-platform reviews,Y,batch_attorneys_01,2026-01-13,Well-reviewed cross-border/business firm; one notable negative review suggests tightening consistency across the team.[web:516][web:517][web:518][web:520][web:522][web:524],,attorneys.csv
jmuir_associates,"J. Muir & Associates, P.A.",Ms. Jane Muir,786-533-1100,miamibusiness.law,,Miami,professional_services,law firm - small business & startups,$$$,4.9,Google/Avvo (low-moderate volume),,,,"Clients praise clear, practical advice for startups and small businesses; strong educational content and community presence",Boutique size may limit capacity for very large or 24/7 matters; some price sensitivity among very small businesses,0.85,High,0.9,N,none,Reputation,OSINT shows very strong client satisfaction and public-facing education,asset_node,"Edges into early-stage companies, small business owners and entrepreneurs",Contracting; disputes; general counsel-style support,Startup formation cycles; local small-business health,review_trend; content_output; referral_from_incubators,Concentration in founder's personal brand; scale limits,Formalize process-driven service tiers; deepen ties with accelerators; systematize referrals,Y,batch_attorneys_01,2026-01-13,High-sentiment small-business boutique with strong educational positioning.[web:296],attorneys.csv
marsicano_leyva_pllc,"Marsicano + Leyva, PLLC",Ms. Lauren Marsicano,305-721-2917,mlesquire.com,,Miami,professional_services,law firm - business disputes & advisory,$$$,4.9,Google/Avvo (low volume),,,,Known for advocacy for women entrepreneurs and business owners; clients highlight accessibility and practical guidance,Very small team; heavy reliance on principal's visibility and networks; limited independent reviews,0.75,Moderate,0.8,N,none,Reputation,OSINT is very positive but sample size small,asset_node,Edges into women-led businesses and small/medium enterprises,Business litigation; contracts; consulting,Small-business cycles; speaking/personal-brand time,speaking_and_media_presence; referral_from_women_orgs; case_mix,Key-person risk and limited bandwidth,Schedule engagements carefully; build of-counsel/associate bench; continue community positioning to feed pipeline,Y,batch_attorneys_01,2026-01-13,Boutique business firm tied closely to founder's brand; risk is capacity and succession.[web:296],attorneys.csv
popok_firm,The Popok Firm,Mr. Michael Popok,786-999-4285,thepopokfirm.com,,Miami/NY,professional_services,law firm - business litigation & investigations,$$$$,4.8,Avvo/peer and media presence,,,,Litigator with background in major NYC firms and media/legal commentary; handles complex business disputes and investigations,Primarily single-partner brand; media presence can be double-edged if expectations not managed,0.8,High,0.85,N,none,Reputation,OSINT indicates strong expertise and visibility; no notable negative patterns surfaced,asset_node,"Edges into high-stakes commercial disputes, white-collar contexts and media-savvy matters",Complex litigation; investigations,Litigation cycles; reputation-sensitive clientele,high_stakes_case_share; media_mentions; referral_from_counsel,Concentration in a single high-profile practitioner,Maintain selectivity; partner with local counsel for bandwidth; manage media exposure carefully,Y,batch_attorneys_01,2026-01-13,Specialized litigator node for complex disputes; key lever is managing caseload and reputation.[web:296],attorneys.csv
epgd_business_law,EPGD Business Law,"Mr. Eric P. Gros-Dubois, Esq.",786-837-6787,epgdlaw.com,,Miami/Coral Gables,professional_services,"law firm - business, tax & estate planning",$$$$,4.6,Google/Avvo (moderate-volume),,,,"Multilawyer firm for entrepreneurs and closely held businesses; offers corporate, tax and estate planning under one roof; many clients note responsiveness and breadth","Some clients report billing or communication issues, as is common with fast-growing firms; practice mix broad",0.85,High,0.9,N,none,Reputation,"OSINT indicates a busy, generally well-regarded business firm with normal growth pains",platform_node,"Edges into entrepreneurs, doctors, professionals and families needing integrated planning","Corporate, tax, estate planning",Tax/regulatory shifts; talent retention; succession,review_distribution; practice_area_mix; staff_growth,Risks around overextension and maintaining quality at scale,Clarify ideal client profiles; keep QA on drafts and communications; maintain tax/estate depth to support value proposition,Y,batch_attorneys_01,2026-01-13,"Integrated business/tax/estate shop; risk is quality control during growth, not trust collapse.[web:296]",attorneys.csv
ser_associates,"Ser & Associates, PLLC","Mrs. Lillian A. Ser, Esq.",305-222-7282,serassociates.com,,Miami,professional_services,"law firm - corporate, real estate & business",$$$$,4.9,Google/Avvo/client comments (low-moderate volume),,,,"Boutique firm with focus on corporate, real estate and regulatory issues; clients highlight hands-on partner involvement",Small size; balancing complex deals with litigation/regulatory work can strain bandwidth,0.8,High,0.85,N,none,Reputation,OSINT is strongly positive; no substantial negatives found,asset_node,"Edges into investors, small/mid developers and operating companies",Transactions; governance; regulatory compliance,Deal-flow cycles; regulatory change,deal_volume; client_mix; repeat_instructions,Key-person dependence; need for scalable support as client list grows,Invest in associate bench; maintain tight matter selection; continue thought leadership in niche areas,Y,batch_attorneys_01,2026-01-13,Trusted corporate/real-estate boutique; core lever is scalable support while preserving partner touch.[web:296],attorneys.csv
